FigA,,Years until 20% infected with only hrp2 deletions,PfPR,ft,PfPR_grouped,lessthan5, 20+,FigB,,Years.until.20..infected.with.only.hrp2.deletions,hrp2d,PfPR,ft,PfPR_grouped,lessthan5, 20+
,73,7.825,0.352676327,0.3,0.35 - 0.4,FALSE,NA,,73,10.53333333,0.778450386,0.352676327,0.3,0.35 - 0.4,FALSE,NA
,74,8.4,0.37477619,0.3,0.35 - 0.4,FALSE,NA,,74,10.73333333,0.744651084,0.37477619,0.3,0.35 - 0.4,FALSE,NA
,75,8.566666667,0.382118503,0.3,0.35 - 0.4,FALSE,NA,,75,11.925,0.695843385,0.382118503,0.3,0.35 - 0.4,FALSE,NA
,76,9.091666667,0.405535578,0.3,0.4 - 0.45,FALSE,NA,,76,12.65,0.653018628,0.405535578,0.3,0.4 - 0.45,FALSE,NA
,77,9.85,0.42763619,0.3,0.4 - 0.45,FALSE,NA,,77,13.23333333,0.616921956,0.42763619,0.3,0.4 - 0.45,FALSE,NA
,78,10.68333333,0.438010408,0.3,0.4 - 0.45,FALSE,NA,,78,13.95833333,0.581834539,0.438010408,0.3,0.4 - 0.45,FALSE,NA
,79,11.025,0.462680408,0.3,0.45 - 0.5,FALSE,NA,,79,15.075,0.516664438,0.462680408,0.3,0.45 - 0.5,FALSE,NA
,80,11.30833333,0.481708231,0.3,0.45 - 0.5,FALSE,NA,,80,15.09166667,0.520410562,0.481708231,0.3,0.45 - 0.5,FALSE,NA
,81,12.65,0.503884626,0.3,0.5 - 0.55,FALSE,NA,,81,16.86666667,0.452958325,0.503884626,0.3,0.5 - 0.55,FALSE,NA
,82,12.725,0.516929048,0.3,0.5 - 0.55,FALSE,NA,,82,17.75833333,0.426640844,0.516929048,0.3,0.5 - 0.55,FALSE,NA
,83,13.61666667,0.535336054,0.3,0.5 - 0.55,FALSE,NA,,83,NA,0.422270935,0.535336054,0.3,0.5 - 0.55,NA,NA
,84,14.88333333,0.558422449,0.3,0.55 - 0.6,FALSE,NA,,84,NA,0.356994285,0.558422449,0.3,0.55 - 0.6,NA,NA
,85,16.16666667,0.570121497,0.3,0.55 - 0.6,FALSE,NA,,85,NA,0.336829491,0.570121497,0.3,0.55 - 0.6,NA,NA
,86,17.075,0.591365782,0.3,0.55 - 0.6,FALSE,NA,,86,NA,0.316218347,0.591365782,0.3,0.55 - 0.6,NA,NA
,87,NA,0.60744517,0.3,0.6 - 0.65,NA,NA,,87,NA,0.2816685,0.60744517,0.3,0.6 - 0.65,NA,NA
,88,NA,0.624036667,0.3,0.6 - 0.65,NA,NA,,88,NA,0.261682723,0.624036667,0.3,0.6 - 0.65,NA,NA
,89,NA,0.643392449,0.3,0.6 - 0.65,NA,NA,,89,NA,0.244811982,0.643392449,0.3,0.6 - 0.65,NA,NA
,90,NA,0.657753605,0.3,0.65 - 0.7,NA,NA,,90,NA,0.23591279,0.657753605,0.3,0.65 - 0.7,NA,NA
