"","Years until 20% infected with only hrp2 deletions","PfPR","ft","PfPR_grouped","lessthan5"," 20+"
"154",NA,0.762752789115646,0.4,"0.75 - 0.8",NA,NA
"155",NA,0.774216190476191,0.4,"0.75 - 0.8",NA,NA
"156",NA,0.790143605442177,0.4,"0.75 - 0.8",NA,NA
"157",NA,0.797535238095238,0.4,"0.75 - 0.8",NA,NA
"158",NA,0.807869115646259,0.4,"0.8 - 1.0",NA,NA
"159",NA,0.819423401360544,0.4,"0.8 - 1.0",NA,NA
"160",NA,0.828289659863946,0.4,"0.8 - 1.0",NA,NA
"161",NA,0.839663945578232,0.4,"0.8 - 1.0",NA,NA
"162",NA,0.84573693877551,0.4,"0.8 - 1.0",NA,NA
"163",NA,0.853865714285714,0.4,"0.8 - 1.0",NA,NA
"164",NA,0.863275170068027,0.4,"0.8 - 1.0",NA,NA
"165",NA,0.870447142857143,0.4,"0.8 - 1.0",NA,NA
"167",1.85,0.0863478911564626,0.5,"0.0 - 0.15",TRUE,NA
"168",2.125,0.0967283673469388,0.5,"0.0 - 0.15",TRUE,NA
"169",1.99166666666667,0.109269047619048,0.5,"0.0 - 0.15",TRUE,NA
"170",2.3,0.11725537414966,0.5,"0.0 - 0.15",TRUE,NA
"171",2.425,0.135313401360544,0.5,"0.0 - 0.15",TRUE,NA
"172",2.275,0.136635170068027,0.5,"0.0 - 0.15",TRUE,NA
"173",2.36666666666667,0.142203401360544,0.5,"0.0 - 0.15",TRUE,NA
"174",2.60833333333333,0.167571360544218,0.5,"0.15 - 0.2",TRUE,NA
"175",2.85833333333333,0.173885102040816,0.5,"0.15 - 0.2",TRUE,NA
"176",2.71666666666667,0.186988775510204,0.5,"0.15 - 0.2",TRUE,NA
"177",2.8,0.195863741496599,0.5,"0.15 - 0.2",TRUE,NA
"178",3.00833333333333,0.210501836734694,0.5,"0.2 - 0.25",TRUE,NA
"179",3.29166666666667,0.227914285714286,0.5,"0.2 - 0.25",TRUE,NA
"180",3.28333333333333,0.237929727891157,0.5,"0.2 - 0.25",TRUE,NA
"181",3.53333333333333,0.260912040816327,0.5,"0.25 - 0.3",TRUE,NA
"182",3.69166666666667,0.275470068027211,0.5,"0.25 - 0.3",TRUE,NA
"183",3.88333333333333,0.297782993197279,0.5,"0.25 - 0.3",TRUE,NA
"184",4.03333333333333,0.316153129251701,0.5,"0.3 - 0.35",TRUE,NA
"185",4.28333333333333,0.331236462585034,0.5,"0.3 - 0.35",TRUE,NA
"186",4.75,0.350736190476191,0.5,"0.35 - 0.4",TRUE,NA
"187",4.79166666666667,0.363798095238095,0.5,"0.35 - 0.4",TRUE,NA
"188",5.1,0.381900612244898,0.5,"0.35 - 0.4",FALSE,NA
"189",5.39166666666667,0.405341632653061,0.5,"0.4 - 0.45",FALSE,NA
"190",5.68333333333333,0.421591768707483,0.5,"0.4 - 0.45",FALSE,NA
"191",6.24166666666667,0.447000816326531,0.5,"0.4 - 0.45",FALSE,NA
"192",6.54166666666667,0.463375782312925,0.5,"0.45 - 0.5",FALSE,NA
"193",6.7,0.474054829931973,0.5,"0.45 - 0.5",FALSE,NA
"194",7.5,0.498430544217687,0.5,"0.45 - 0.5",FALSE,NA
"195",8.15833333333333,0.519526598639456,0.5,"0.5 - 0.55",FALSE,NA
"196",8.80833333333333,0.543234693877551,0.5,"0.5 - 0.55",FALSE,NA
"197",9.075,0.54998,0.5,"0.5 - 0.55",FALSE,NA
"198",9.90833333333333,0.569007210884354,0.5,"0.55 - 0.6",FALSE,NA
"199",11.0416666666667,0.594035782312925,0.5,"0.55 - 0.6",FALSE,NA
"200",11.3166666666667,0.606362789115646,0.5,"0.6 - 0.65",FALSE,NA
"201",12.7166666666667,0.622746530612245,0.5,"0.6 - 0.65",FALSE,NA
"202",13.8583333333333,0.644447891156463,0.5,"0.6 - 0.65",FALSE,NA
"203",14.6166666666667,0.651270408163265,0.5,"0.65 - 0.7",FALSE,NA
"204",16.125,0.672014353741497,0.5,"0.65 - 0.7",FALSE,NA
"205",17.6916666666667,0.686563333333333,0.5,"0.65 - 0.7",FALSE,NA
"206",19.3166666666667,0.702761972789116,0.5,"0.7 - 0.75",FALSE,NA
"207",NA,0.717467346938776,0.5,"0.7 - 0.75",NA,NA
"208",NA,0.730303945578231,0.5,"0.7 - 0.75",NA,NA
"209",NA,0.74660619047619,0.5,"0.7 - 0.75",NA,NA
"210",NA,0.75440768707483,0.5,"0.75 - 0.8",NA,NA
"211",NA,0.768558503401361,0.5,"0.75 - 0.8",NA,NA
"212",NA,0.779523469387755,0.5,"0.75 - 0.8",NA,NA
"213",NA,0.787462585034013,0.5,"0.75 - 0.8",NA,NA
"214",NA,0.802596530612245,0.5,"0.8 - 1.0",NA,NA
"215",NA,0.812511360544218,0.5,"0.8 - 1.0",NA,NA
"216",NA,0.822239455782313,0.5,"0.8 - 1.0",NA,NA
"217",NA,0.832708367346939,0.5,"0.8 - 1.0",NA,NA
"218",NA,0.838830952380952,0.5,"0.8 - 1.0",NA,NA
"219",NA,0.848878639455782,0.5,"0.8 - 1.0",NA,NA
"220",NA,0.855094829931973,0.5,"0.8 - 1.0",NA,NA
"221",1.36666666666667,0.0610531972789116,0.6,"0.0 - 0.15",TRUE,NA
"222",1.49166666666667,0.0624601360544218,0.6,"0.0 - 0.15",TRUE,NA
"223",1.50833333333333,0.072704149659864,0.6,"0.0 - 0.15",TRUE,NA
"224",1.625,0.0858573469387755,0.6,"0.0 - 0.15",TRUE,NA
"225",1.56666666666667,0.087362925170068,0.6,"0.0 - 0.15",TRUE,NA
"226",1.825,0.105988095238095,0.6,"0.0 - 0.15",TRUE,NA
"228",1.70833333333333,0.124584149659864,0.6,"0.0 - 0.15",TRUE,NA
"229",1.9,0.129839115646258,0.6,"0.0 - 0.15",TRUE,NA
"230",2.09166666666667,0.151090204081633,0.6,"0.15 - 0.2",TRUE,NA
"231",2.09166666666667,0.164604965986395,0.6,"0.15 - 0.2",TRUE,NA
"232",2.28333333333333,0.180057346938776,0.6,"0.15 - 0.2",TRUE,NA
"233",2.125,0.181858231292517,0.6,"0.15 - 0.2",TRUE,NA
"234",2.20833333333333,0.19973693877551,0.6,"0.15 - 0.2",TRUE,NA
"235",2.425,0.211469727891156,0.6,"0.2 - 0.25",TRUE,NA
"236",2.75,0.237264013605442,0.6,"0.2 - 0.25",TRUE,NA
"237",2.75,0.253668299319728,0.6,"0.25 - 0.3",TRUE,NA
"238",3.025,0.268616326530612,0.6,"0.25 - 0.3",TRUE,NA
"239",3,0.285717959183673,0.6,"0.25 - 0.3",TRUE,NA
"240",3.19166666666667,0.298393129251701,0.6,"0.25 - 0.3",TRUE,NA
"241",3.46666666666667,0.326683129251701,0.6,"0.3 - 0.35",TRUE,NA
"242",3.675,0.339842993197279,0.6,"0.3 - 0.35",TRUE,NA
"243",3.79166666666667,0.354698503401361,0.6,"0.35 - 0.4",TRUE,NA
"244",3.96666666666667,0.374051156462585,0.6,"0.35 - 0.4",TRUE,NA
"245",4.4,0.396515442176871,0.6,"0.35 - 0.4",TRUE,NA
"246",4.73333333333333,0.418957006802721,0.6,"0.4 - 0.45",TRUE,NA
"247",4.83333333333333,0.433119319727891,0.6,"0.4 - 0.45",TRUE,NA
"248",5.175,0.451480952380952,0.6,"0.45 - 0.5",FALSE,NA
"249",5.83333333333333,0.476840068027211,0.6,"0.45 - 0.5",FALSE,NA
"250",6.03333333333333,0.49017156462585,0.6,"0.45 - 0.5",FALSE,NA
"251",6.65,0.512596802721089,0.6,"0.5 - 0.55",FALSE,NA
"252",7.05833333333333,0.529588775510204,0.6,"0.5 - 0.55",FALSE,NA
"253",7.625,0.545654557823129,0.6,"0.5 - 0.55",FALSE,NA
