Observed,Province,fT,PCR.05.U95,PCR.05.L95,propDel.U95,propDel.L95,PCR.05,propDel,FigA,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province,FigB,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province
,,,,,,,,,,34.58922308,5.860480683,Kasai,,34.44438612,3.039236686,Kasai
,,,,,,,,,,51.41925988,3.663939667,Kasai-Central,,51.47120639,2.630942396,Kasai-Central
,,,,,,,,,,36.44369889,4.671946572,Kasai-Oriental,,36.16343996,3.808165959,Kasai-Oriental
,,,,,,,,,,24.65942221,6.505993148,Kinshasa,,23.79030116,3.488665742,Kinshasa
,,,,,,,,,,43.71788149,5.358134225,Kongo Central,,43.31705268,3.561658165,Kongo Central
,,,,,,,,,,20.10634937,12.29633552,Kwango,,18.63145761,2.757897083,Kwango
,,,,,,,,,,19.5870859,8.04218454,Kwilu,,18.9691371,3.625394926,Kwilu
,,,,,,,,,,64.50644907,2.918238786,Lomami,,64.06225102,2.329541394,Lomami
,,,,,,,,,,44.90450887,4.795216761,Lualaba,,44.6169387,2.982562095,Lualaba
,,,,,,,,,,44.086929,4.900307597,Mai-Ndombe,,43.60716166,2.977719421,Mai-Ndombe
,,,,,,,,,,50.85156895,4.287358193,Maniema,,50.33602151,2.748127389,Maniema
,,,,,,,,,,36.56139982,5.744059032,Mongala,,35.76217452,4.052240815,Mongala
,,,,,,,,,,11.6542948,14.70349472,North-Kivu,,11.01730248,3.113238896,North-Kivu
,,,,,,,,,,60.44425685,2.976613017,Nord-Ubangi,,59.85971204,2.481177927,Nord-Ubangi
,,,,,,,,,,27.02674413,5.810855762,Sankuru,,25.89158721,3.586314379,Sankuru
,,,,,,,,,,15.62317765,17.59480367,South-Kivu,,14.06762882,3.296829968,South-Kivu
,,,,,,,,,,30.33100771,4.903163715,Sud-Ubangi,,29.9240241,3.695478638,Sud-Ubangi
,,,,,,,,,,62.21428196,2.855957853,Tanganyka,,62.40557815,2.609342619,Tanganyka
,,,,,,,,,,46.27164132,4.651585348,Tshopo,,45.06227992,2.903653183,Tshopo
,,,,,,,,,,26.05006808,5.697534909,Tshuapa,,25.84093872,3.25826662,Tshuapa
,,,,,,,,,,68.01233977,2.423830495,Bas-Uele,,68.31929657,2.3667164,Bas-Uele
,,,,,,,,,,23.5590816,6.000664765,Equateur,,23.19207253,3.811903616,Equateur
,,,,,,,,,,31.77257525,5.854225816,Haut-Katanga,,31.26472899,3.012726306,Haut-Katanga
,,,,,,,,,,43.36315985,5.30128435,Haut-Lomami,,42.50825428,3.224099441,Haut-Lomami
