,hrp2.Deletion.Allele.Frequency_A,Prevalence,Years,hrp2.Deletion.Allele.Frequency_B,Starting Frequency,Years,hrp2.Deletion.Allele.Frequency_CD,Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains,PCR.Prevalence
185,0.681436515,10,15.41666667,0.120966427,12,15.41666667,0.256967755,0.15428678,0.375456667
186,0.691356958,10,15.5,0.124864105,12,15.5,0.241347434,0.145171661,0.398149333
187,0.702206583,10,15.58333333,0.129442904,12,15.58333333,0.224240063,0.132456729,0.409585333
188,0.712844198,10,15.66666667,0.132987611,12,15.66666667,0.220412526,0.12701132,0.428056333
189,0.723458618,10,15.75,0.13694022,12,15.75,0.216816099,0.123633107,0.454894333
190,0.733231555,10,15.83333333,0.140849297,12,15.83333333,0.222483979,0.127034501,0.467825667
191,0.744504742,10,15.91666667,0.145318833,12,15.91666667,0.17582256,0.097228688,0.488312667
192,0.754895559,10,16,0.149462198,12,16,0.18244511,0.099516895,0.504859
193,0.765096288,10,16.08333333,0.153908769,12,16.08333333,0.199485234,0.109462679,0.52191
194,0.774366442,10,16.16666667,0.157221036,12,16.16666667,0.183759316,0.097305738,0.540704667
195,0.785566582,10,16.25,0.161293834,12,16.25,0.159529973,0.08463685,0.558681
196,0.795020177,10,16.33333333,0.165903597,12,16.33333333,0.1498972,0.075467004,0.577422333
197,0.80320218,10,16.41666667,0.170441302,12,16.41666667,0.135701788,0.06702127,0.590519
198,0.811549192,10,16.5,0.175521395,12,16.5,0.141141075,0.068301891,0.607650333
199,0.820589663,10,16.58333333,0.180014124,12,16.58333333,0.142457013,0.067835993,0.624747
200,0.828898622,10,16.66666667,0.185001249,12,16.66666667,0.133537571,0.062660858,0.639022
201,0.835970844,10,16.75,0.189733587,12,16.75,0.131419292,0.059423096,0.657174333
202,0.842602658,10,16.83333333,0.194736577,12,16.83333333,0.116793377,0.049674903,0.670211
203,0.850861234,10,16.91666667,0.19964696,12,16.91666667,0.115490815,0.049475975,0.681233
204,0.857797692,10,17,0.205301129,12,17,0.115763255,0.048381512,0.704690667
205,0.864354553,10,17.08333333,0.211507243,12,17.08333333,0.116747227,0.048550742,0.710789
206,0.87133694,10,17.16666667,0.216796078,12,17.16666667,0.103661924,0.038635515,0.733151
207,0.877404216,10,17.25,0.221785801,12,17.25,0.110572323,0.041326345,0.74219
208,0.882626586,10,17.33333333,0.227251249,12,17.33333333,0.10227614,0.037412827,0.754099667
209,0.887982876,10,17.41666667,0.234045484,12,17.41666667,0.105748906,0.036831053,0.767948
210,0.893399455,10,17.5,0.240388115,12,17.5,0.100198353,0.034265472,0.778198333
211,0.89842472,10,17.58333333,0.247059324,12,17.58333333,0.096312366,0.031052483,0.792282333
212,0.903450364,10,17.66666667,0.252725449,12,17.66666667,0.092943769,0.027709714,0.802486333
213,0.907914714,10,17.75,0.259889593,12,17.75,0.095151474,0.028461629,0.810131667
214,0.913243878,10,17.83333333,0.266951221,12,17.83333333,0.098224964,0.027536722,0.822271667
215,0.917604899,10,17.91666667,0.273915233,12,17.91666667,0.097492943,0.027041306,0.8328
216,0.921231113,10,18,0.279237363,12,18,0.089980722,0.023391653,0.840713
217,0.925792334,10,18.08333333,0.285607889,12,18.08333333,0.089543038,0.02311566,0.850779667
218,0.929887432,10,18.16666667,0.292306927,12,18.16666667,0.087429588,0.020813123,0.859698
219,0.933621929,10,18.25,0.298596182,12,18.25,0.088326631,0.020335936,0.867446333
220,0.936649214,10,18.33333333,0.305215098,12,18.33333333,0.085797101,0.019196787,0.872819667
221,0.940666223,10,18.41666667,0.311362733,12,18.41666667,0.661473444,0.428335762,0.155991333
222,0.943814618,10,18.5,0.317697568,12,18.5,0.699955177,0.452109137,0.149231667
223,0.946482053,10,18.58333333,0.32453075,12,18.58333333,0.603815543,0.387626515,0.158182333
224,0.949279524,10,18.66666667,0.332489903,12,18.66666667,0.5492942,0.349307217,0.166334
225,0.95216582,10,18.75,0.340254323,12,18.75,0.495434373,0.312303023,0.171762667
226,0.954442068,10,18.83333333,0.346671599,12,18.83333333,0.609303444,0.39212272,0.196023667
227,0.957559773,10,18.91666667,0.354610057,12,18.91666667,0.552059766,0.35560808,0.200680667
228,0.959492805,10,19,0.361782621,12,19,0.49264339,0.316414844,0.203781
229,0.961762822,10,19.08333333,0.368867964,12,19.08333333,0.436447771,0.279067892,0.223250333
230,0.964178526,10,19.16666667,0.375944163,12,19.16666667,0.496427846,0.315643654,0.233645333
231,0.966227207,10,19.25,0.383604966,12,19.25,0.375242966,0.236196411,0.244344667
232,0.967664471,10,19.33333333,0.391883905,12,19.33333333,0.46150382,0.294961765,0.25849
233,0.969104775,10,19.41666667,0.400036724,12,19.41666667,0.446250982,0.285310967,0.271438333
234,0.970618289,10,19.5,0.408124434,12,19.5,0.349691512,0.219054575,0.284344667
235,0.972487329,10,19.58333333,0.415877608,12,19.58333333,0.32272538,0.199697509,0.300394333
236,0.973884011,10,19.66666667,0.424065835,12,19.66666667,0.326489785,0.20379355,0.318857
237,0.975365011,10,19.75,0.432559148,12,19.75,0.296277477,0.182461344,0.325239667
238,0.97685163,10,19.83333333,0.441709683,12,19.83333333,0.310911577,0.190897694,0.3483
239,0.977794791,10,19.91666667,0.450810762,12,19.91666667,0.261459647,0.160434341,0.358765667
240,0.979180237,10,20,0.460204209,12,20,0.228144268,0.138182687,0.376728333
241,0.080230287,25,0.083333333,0.080281809,8,0.083333333,0.213826993,0.127428615,0.397877667
242,0.080132253,25,0.166666667,0.080241848,8,0.166666667,0.221295954,0.13240417,0.40897
243,0.079987374,25,0.25,0.079874777,8,0.25,0.240141869,0.142064658,0.429511
244,0.080286136,25,0.333333333,0.079876164,8,0.333333333,0.21259424,0.123779698,0.453644667
245,0.079871409,25,0.416666667,0.079681321,8,0.416666667,0.21495295,0.122897545,0.467112667
246,0.079679275,25,0.5,0.080088819,8,0.5,0.20840861,0.116106368,0.492178
247,0.079024675,25,0.583333333,0.080205742,8,0.583333333,0.20153921,0.112682725,0.501961
248,0.078872978,25,0.666666667,0.080221833,8,0.666666667,0.17853871,0.096363554,0.521819
249,0.078858882,25,0.75,0.080168786,8,0.75,0.158392156,0.083617292,0.539593333
250,0.078479351,25,0.833333333,0.080209005,8,0.833333333,0.154278667,0.08018551,0.558675333
251,0.078457859,25,0.916666667,0.080689187,8,0.916666667,0.146518463,0.073807457,0.577191
252,0.077676428,25,1,0.080602204,8,1,0.146735301,0.073990866,0.590811667
253,0.077872915,25,1.083333333,0.080942812,8,1.083333333,0.150627325,0.07337733,0.605709333
254,0.07763582,25,1.166666667,0.080964997,8,1.166666667,0.134345524,0.06428671,0.624063667
255,0.077414999,25,1.25,0.081531799,8,1.25,0.131887546,0.062084621,0.639777333
256,0.077499518,25,1.333333333,0.081920421,8,1.333333333,0.136686468,0.061062083,0.655447667
257,0.077078353,25,1.416666667,0.081620937,8,1.416666667,0.125473903,0.056485387,0.670492
258,0.076418032,25,1.5,0.081422168,8,1.5,0.113902558,0.048185284,0.682255333
259,0.076420404,25,1.583333333,0.081164679,8,1.583333333,0.113554664,0.045418186,0.701752667
260,0.076531437,25,1.666666667,0.081203446,8,1.666666667,0.120420449,0.049397282,0.711415667
261,0.076592811,25,1.75,0.080836426,8,1.75,0.1087649,0.041219655,0.730654667
262,0.0768534,25,1.833333333,0.080728876,8,1.833333333,0.109040508,0.041395237,0.743338333
263,0.076638737,25,1.916666667,0.080389514,8,1.916666667,0.094860979,0.033986697,0.752873
264,0.076778708,25,2,0.080700826,8,2,0.104879909,0.037375209,0.770118333
265,0.076627679,25,2.083333333,0.08069788,8,2.083333333,0.102388276,0.035063052,0.779015667
266,0.076521361,25,2.166666667,0.081141377,8,2.166666667,0.101824617,0.033180644,0.791586
267,0.076718297,25,2.25,0.081037184,8,2.25,0.099406731,0.030678522,0.800755667
268,0.076866754,25,2.333333333,0.080699658,8,2.333333333,0.094305921,0.02848848,0.81117
269,0.077194578,25,2.416666667,0.08113862,8,2.416666667,0.096165865,0.028249086,0.820215333
270,0.077079489,25,2.5,0.081385147,8,2.5,0.092016146,0.02513495,0.831604333
271,0.076987887,25,2.583333333,0.080982501,8,2.583333333,0.088803323,0.023571158,0.843007667
272,0.077149653,25,2.666666667,0.081096773,8,2.666666667,0.088288613,0.021931583,0.849900667
273,0.077201617,25,2.75,0.081570739,8,2.75,0.090663031,0.021568194,0.85963
274,0.077186169,25,2.833333333,0.081870251,8,2.833333333,0.082372936,0.018297498,0.865346
