,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
246,99.95972397,0.418957007,0.6,0.4 - 0.45
247,99.93294877,0.43311932,0.6,0.4 - 0.45
248,99.90941151,0.451480952,0.6,0.45 - 0.5
249,99.7944654,0.476840068,0.6,0.45 - 0.5
250,99.72019441,0.490171565,0.6,0.45 - 0.5
251,99.43641454,0.512596803,0.6,0.5 - 0.55
252,99.22804867,0.529588776,0.6,0.5 - 0.55
253,98.60889468,0.545654558,0.6,0.5 - 0.55
254,97.37543773,0.568795646,0.6,0.55 - 0.6
255,97.05848322,0.577040816,0.6,0.55 - 0.6
256,93.81493188,0.60015932,0.6,0.6 - 0.65
257,88.92271442,0.616764694,0.6,0.6 - 0.65
258,84.76637918,0.632707619,0.6,0.6 - 0.65
259,70.40033173,0.67315649,0.6,0.65 - 0.7
260,73.18529138,0.662456122,0.6,0.65 - 0.7
261,63.30782204,0.682811497,0.6,0.65 - 0.7
262,58.98507451,0.692902177,0.6,0.65 - 0.7
263,52.78969196,0.706982653,0.6,0.7 - 0.75
264,45.82453903,0.723975986,0.6,0.7 - 0.75
265,40.07541372,0.734257551,0.6,0.7 - 0.75
266,36.44211784,0.747147551,0.6,0.7 - 0.75
267,32.88968298,0.761051361,0.6,0.75 - 0.8
268,28.97079479,0.768987415,0.6,0.75 - 0.8
269,33.98310762,0.718071782,0.6,0.7 - 0.75
270,30.63659977,0.727805177,0.6,0.7 - 0.75
271,20.34637065,0.806726871,0.6,0.8 - 1.0
272,19.2090605,0.814804694,0.6,0.8 - 1.0
273,17.92548702,0.823398571,0.6,0.8 - 1.0
274,16.183833,0.834522109,0.6,0.8 - 1.0
275,15.58336326,0.840957619,0.6,0.8 - 1.0
