"","hrp2.Deletion.Allele.Frequency","level","years"
"125",0.115104068084552,"0%",10.4166666666667
"126",0.119870211207526,"0%",10.5
"127",0.123824973514016,"0%",10.5833333333333
"128",0.129596336534912,"0%",10.6666666666667
"129",0.134053173094633,"0%",10.75
"130",0.138785636543277,"0%",10.8333333333333
"131",0.143928031199664,"0%",10.9166666666667
"132",0.149707971897596,"0%",11
"133",0.154370200993455,"0%",11.0833333333333
"134",0.160054835273784,"0%",11.1666666666667
"135",0.165258384277153,"0%",11.25
"136",0.170776644851257,"0%",11.3333333333333
"137",0.176796707527906,"0%",11.4166666666667
"138",0.183314733526395,"0%",11.5
"139",0.189812940553458,"0%",11.5833333333333
"140",0.195919028586482,"0%",11.6666666666667
"141",0.202957823014313,"0%",11.75
"142",0.209777698900156,"0%",11.8333333333333
