"","hrp2.Deletion.Allele.Frequency","Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains","PCR.Prevalence"
"60",0.582541228806297,0.376346658079948,0.181158333333333
"61",0.632397983170432,0.413981223039838,0.202304666666667
"62",0.476824567860413,0.302125665327834,0.197020666666667
"63",0.561599634959781,0.363781149565599,0.209714
"64",0.43624042635438,0.278884044918269,0.222804666666667
"65",0.431065222806352,0.272469669925829,0.228211333333333
"66",0.447961541071292,0.28455776538612,0.246223
"67",0.414806166843405,0.265589592287386,0.253299333333333
"68",0.366165927706128,0.232798909018474,0.261049333333333
"69",0.391102799853376,0.245831509016503,0.285495
"70",0.335926349079697,0.210711067727887,0.301874666666667
"71",0.39550357139217,0.249727604170383,0.327036333333333
"72",0.323347035836237,0.203121961351703,0.327379666666667
"73",0.341723741606058,0.212407600127477,0.354573
"74",0.325004388305477,0.200010592185341,0.365049
"75",0.277686102262565,0.169185234609778,0.381676333333333
"76",0.260570729617886,0.155119307596707,0.403117666666667
"77",0.260566447083727,0.155960908673175,0.411310333333333
"78",0.235001082373666,0.135739591185896,0.429796
"79",0.193462434927042,0.111250249528382,0.452520333333333
"80",0.209818857483177,0.121514658154522,0.467828333333333
"81",0.20672566917474,0.117186015095065,0.489299
"82",0.197860867938754,0.108558030015936,0.504532
"83",0.183031222009837,0.100348163261163,0.525424
"84",0.173501832484565,0.0905034134564908,0.542900333333333
"85",0.148690875742513,0.076836255777386,0.559653333333333
"86",0.149452682844938,0.0783746091755076,0.576985333333333
"87",0.149521616036789,0.0760923673112038,0.591277
"88",0.143040192078854,0.0690739613707315,0.608502333333333
"89",0.135473232171601,0.0634284278127492,0.628661333333333
"90",0.135663057194488,0.0633887260135577,0.639093666666667
"91",0.138110669598289,0.064442080822689,0.657810333333333
"92",0.125194893671689,0.0550966276616765,0.668062666666667
"93",0.111848792230014,0.0475029666177435,0.683157333333333
"94",0.117380245530625,0.0471317562517856,0.704705333333333
"95",0.111160551048308,0.0447731489717435,0.710150333333333
"96",0.115361095237244,0.0445160453879781,0.730178666666667
"97",0.10902668476542,0.0406215775806754,0.742347666666667
"98",0.103090505803571,0.0375305776301638,0.751911333333333
"99",0.107604454651831,0.0380243169536454,0.768078666666667
"100",0.0978353017097126,0.0318664219906177,0.776355333333333
"101",0.0974876559460407,0.0308279724163466,0.792256666666667
"102",0.0996927774758219,0.0309381660103598,0.802978
"103",0.0953445743536502,0.029289018255137,0.809416
"104",0.0922405949460566,0.0265489556862705,0.823108333333333
"105",0.0953322661763777,0.0256637022549886,0.830706333333333
"106",0.0886800735279677,0.0230905791227952,0.843056666666667
"107",0.0888072729750892,0.0215195135201993,0.851614666666667
"108",0.0919885319032149,0.0221861790710584,0.859874666666667
"109",0.0900979580686739,0.020975314425856,0.866606
"110",0.0888314345108512,0.0188259635757284,0.87158
"111",0.598754405562235,0.38145194471737,0.148256333333333
"112",0.618961266397735,0.390104280271212,0.143651333333333
"113",0.651409303482012,0.422642989280295,0.162349
"114",0.586295885334228,0.377223804042729,0.16507
"115",0.508613490325892,0.321064753895242,0.173523666666667
"116",0.60597820740317,0.396852944184936,0.195526666666667
"117",0.540544679507848,0.346397244927596,0.200841666666667
"118",0.453264456458207,0.287898908884377,0.203064333333333
"119",0.382367728882834,0.242134493283201,0.220392666666667
"120",0.405373166790692,0.257894498898205,0.228566333333333
"121",0.513528118989528,0.333549060267061,0.252376666666667
"122",0.390573411808354,0.248698276411706,0.250949333333333
"123",0.417160137015716,0.263388149581253,0.267743
"124",0.365676279709845,0.230040422382223,0.284166
"125",0.33045597882591,0.203443016052019,0.301789666666667
"126",0.275562466306008,0.171614792604333,0.314833
"127",0.332847301147555,0.207149598099515,0.327776
"128",0.274278047780336,0.164849288783374,0.347784333333333
"129",0.305066071716981,0.187927395833523,0.365488666666667
"130",0.272654748769523,0.164753207085598,0.380433666666667
"131",0.244569239703981,0.145546068073653,0.400762
"132",0.266265786272255,0.158082772546448,0.414348333333333
"133",0.227331845184664,0.132474976072895,0.426991333333333
"134",0.21398224192843,0.125178780033757,0.452837666666667
"135",0.201662994681411,0.113076648602682,0.468027666666667
"136",0.201025037266943,0.112745446638349,0.487478666666667
"137",0.198095987568459,0.108896436383028,0.505048666666667
"138",0.19734805061756,0.107152214949595,0.522863666666667
"139",0.180853188666958,0.0967565431312058,0.544018333333333
"140",0.158476570250866,0.0812403169218893,0.558749666666667
"141",0.14987705002079,0.0759008104640322,0.577776
"142",0.142859147667491,0.0713387799331134,0.591847333333333
"143",0.148714489614107,0.0708846804256631,0.606520333333333
"144",0.140261031876562,0.0666772177868439,0.625526
"145",0.136788747833875,0.0625949912339823,0.639971333333333
"146",0.132713771406919,0.059494038728864,0.657270333333333
"147",0.123705255293289,0.0548974657971009,0.671190666666667
"148",0.1172121122944,0.0502461385093417,0.680782
"149",0.118848579359299,0.0493488892677254,0.701954333333333
"150",0.115845858836116,0.0468525881522943,0.713443333333333
"151",0.119251062525816,0.0464640447959459,0.731971
"152",0.112226250065282,0.0411704291348758,0.741608333333333
"153",0.11236920554606,0.0411478986821805,0.752075666666667
"154",0.095832961120028,0.0326731646484681,0.768204333333333
"155",0.100788465945911,0.0336344333650431,0.779290666666667
"156",0.0998309275004756,0.031930099380899,0.792439333333333
"157",0.0951119905990178,0.0289982432616775,0.801485333333333
"158",0.103737036236539,0.0318760893319039,0.809938333333333
