"","hrp2.Deletion.Allele.Frequency","Prevalence","years"
"59",0.0995723115138602,"10%",4.91666666666667
"60",0.099662412857094,"10%",5
"61",0.099677244375202,"10%",5.08333333333333
"62",0.099440981966442,"10%",5.16666666666667
"63",0.0995704386317739,"10%",5.25
"64",0.100330188714105,"10%",5.33333333333333
"65",0.0994400273222647,"10%",5.41666666666667
"66",0.0999014366667552,"10%",5.5
"67",0.0999399999724115,"10%",5.58333333333333
"68",0.0992648558733175,"10%",5.66666666666667
"69",0.0998809080915194,"10%",5.75
"70",0.0998280748484202,"10%",5.83333333333333
"71",0.0994834646131615,"10%",5.91666666666667
"72",0.0996682756051166,"10%",6
"73",0.0995724992734669,"10%",6.08333333333333
"74",0.0996054588792408,"10%",6.16666666666667
"75",0.0996114856122495,"10%",6.25
"76",0.0998964349043868,"10%",6.33333333333333
"77",0.0997905980831373,"10%",6.41666666666667
"78",0.0994416242988211,"10%",6.5
"79",0.10010822017452,"10%",6.58333333333333
"80",0.0998740002280304,"10%",6.66666666666667
"81",0.0995380362841861,"10%",6.75
"82",0.0997448805513445,"10%",6.83333333333333
"83",0.0996393056939806,"10%",6.91666666666667
"84",0.0996173920126515,"10%",7
"85",0.100182559038391,"10%",7.08333333333333
"86",0.0995241625582672,"10%",7.16666666666667
"87",0.0993897153588319,"10%",7.25
"88",0.100195347447866,"10%",7.33333333333333
"89",0.0994984081880512,"10%",7.41666666666667
"90",0.0997603546294734,"10%",7.5
"91",0.100140078158827,"10%",7.58333333333333
"92",0.100033445355258,"10%",7.66666666666667
"93",0.0996432741460288,"10%",7.75
"94",0.0998130498916555,"10%",7.83333333333333
"95",0.0999869000284863,"10%",7.91666666666667
"96",0.100205832910878,"10%",8
"97",0.0993546181546893,"10%",8.08333333333333
"98",0.0995643370557095,"10%",8.16666666666667
"99",0.099556705459803,"10%",8.25
"100",0.0998189789787831,"10%",8.33333333333333
"101",0.0997401049428497,"10%",8.41666666666667
"102",0.0996888557622213,"10%",8.5
"103",0.0996703829035634,"10%",8.58333333333333
"104",0.0997691287196908,"10%",8.66666666666667
"105",0.0995355137349649,"10%",8.75
"106",0.0999708347348041,"10%",8.83333333333333
"107",0.0995267658893101,"10%",8.91666666666667
"108",0.0996264034171886,"10%",9
"109",0.0995559287442771,"10%",9.08333333333333
"110",0.100460748109771,"10%",9.16666666666667
"111",0.0994437976858672,"10%",9.25
"112",0.0994536428503722,"10%",9.33333333333333
"113",0.0998834170331899,"10%",9.41666666666667
"114",0.100123703999144,"10%",9.5
"115",0.0998773522761808,"10%",9.58333333333333
"116",0.0999930665666967,"10%",9.66666666666667
"117",0.0993860633149776,"10%",9.75
"118",0.0996804481161329,"10%",9.83333333333333
"119",0.100068226804065,"10%",9.91666666666667
"120",0.0997352226426521,"10%",10
"121",0.0997684285714286,"10%",10.0833333333333
"122",0.0987628571428571,"10%",10.1666666666667
"123",0.0981365714285714,"10%",10.25
"124",0.0975335714285714,"10%",10.3333333333333
"125",0.0969588571428571,"10%",10.4166666666667
"126",0.0967555714285714,"10%",10.5
"127",0.0966632857142857,"10%",10.5833333333333
"128",0.0968741428571429,"10%",10.6666666666667
"129",0.0971627142857143,"10%",10.75
"130",0.0974248571428571,"10%",10.8333333333333
"131",0.0980578571428571,"10%",10.9166666666667
"132",0.0985167142857143,"10%",11
"133",0.0991794285714286,"10%",11.0833333333333
"134",0.0999545714285714,"10%",11.1666666666667
"135",0.100515857142857,"10%",11.25
"136",0.101294428571429,"10%",11.3333333333333
"137",0.101897428571429,"10%",11.4166666666667
"138",0.102668428571429,"10%",11.5
"139",0.103353428571429,"10%",11.5833333333333
"140",0.103926428571429,"10%",11.6666666666667
"141",0.104552285714286,"10%",11.75
"142",0.105243857142857,"10%",11.8333333333333
"143",0.106005,"10%",11.9166666666667
"144",0.106909142857143,"10%",12
"145",0.107667,"10%",12.0833333333333
"146",0.108284,"10%",12.1666666666667
"147",0.109167428571429,"10%",12.25
"148",0.109968571428571,"10%",12.3333333333333
"149",0.110949714285714,"10%",12.4166666666667
"150",0.111790857142857,"10%",12.5
"151",0.112684,"10%",12.5833333333333
"152",0.113439428571429,"10%",12.6666666666667
"153",0.114224714285714,"10%",12.75
"154",0.115121428571429,"10%",12.8333333333333
"155",0.115949857142857,"10%",12.9166666666667
"156",0.117022285714286,"10%",13
"157",0.118174571428571,"10%",13.0833333333333
"158",0.119583571428571,"10%",13.1666666666667
"159",0.120804571428571,"10%",13.25
"160",0.122014571428571,"10%",13.3333333333333
"161",0.122999142857143,"10%",13.4166666666667
"162",0.124108571428571,"10%",13.5
"163",0.125234857142857,"10%",13.5833333333333
"164",0.125822285714286,"10%",13.6666666666667
"165",0.126685571428571,"10%",13.75
"166",0.1277,"10%",13.8333333333333
"167",0.128450142857143,"10%",13.9166666666667
"168",0.129601,"10%",14
"169",0.130939714285714,"10%",14.0833333333333
"170",0.132206,"10%",14.1666666666667
"171",0.133387714285714,"10%",14.25
"172",0.134639571428571,"10%",14.3333333333333
"173",0.135998714285714,"10%",14.4166666666667
"174",0.137411142857143,"10%",14.5
"175",0.138600428571429,"10%",14.5833333333333
"176",0.139848142857143,"10%",14.6666666666667
"177",0.140987428571429,"10%",14.75
"178",0.142408,"10%",14.8333333333333
"179",0.143687,"10%",14.9166666666667
"180",0.145232428571429,"10%",15
"181",0.146472142857143,"10%",15.0833333333333
"182",0.147687714285714,"10%",15.1666666666667
"183",0.148982714285714,"10%",15.25
"184",0.150467714285714,"10%",15.3333333333333
"185",0.151846714285714,"10%",15.4166666666667
"186",0.152997428571429,"10%",15.5
"187",0.154361571428571,"10%",15.5833333333333
"188",0.155509142857143,"10%",15.6666666666667
"189",0.156879857142857,"10%",15.75
"190",0.157908428571429,"10%",15.8333333333333
"191",0.158845285714286,"10%",15.9166666666667
"192",0.159883142857143,"10%",16
"193",0.160941142857143,"10%",16.0833333333333
"194",0.162056714285714,"10%",16.1666666666667
"195",0.163341142857143,"10%",16.25
"196",0.164645571428571,"10%",16.3333333333333
"197",0.165958428571429,"10%",16.4166666666667
"198",0.166861571428571,"10%",16.5
"199",0.167946285714286,"10%",16.5833333333333
"200",0.169053142857143,"10%",16.6666666666667
"201",0.169871571428571,"10%",16.75
"202",0.170815142857143,"10%",16.8333333333333
"203",0.171540857142857,"10%",16.9166666666667
"204",0.172508857142857,"10%",17
