,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
250,96.07802455,0.490171565,0.6,0.45 - 0.5
251,93.0495872,0.512596803,0.6,0.5 - 0.55
252,91.23077601,0.529588776,0.6,0.5 - 0.55
253,87.88545579,0.545654558,0.6,0.5 - 0.55
254,80.60835217,0.568795646,0.6,0.55 - 0.6
255,79.59807342,0.577040816,0.6,0.55 - 0.6
256,72.31197608,0.60015932,0.6,0.6 - 0.65
257,65.42692129,0.616764694,0.6,0.6 - 0.65
258,57.87292845,0.632707619,0.6,0.6 - 0.65
259,52.22061147,0.653980884,0.6,0.65 - 0.7
260,48.36932892,0.662456122,0.6,0.65 - 0.7
261,40.61379873,0.682811497,0.6,0.65 - 0.7
262,38.84405006,0.692902177,0.6,0.65 - 0.7
263,32.5523476,0.706982653,0.6,0.7 - 0.75
264,30.19068733,0.723975986,0.6,0.7 - 0.75
265,27.2803586,0.734257551,0.6,0.7 - 0.75
266,25.72037459,0.747147551,0.6,0.7 - 0.75
267,24.52956509,0.761051361,0.6,0.75 - 0.8
268,20.95932324,0.768987415,0.6,0.75 - 0.8
269,19.96125699,0.78267585,0.6,0.75 - 0.8
270,17.73219409,0.792872041,0.6,0.75 - 0.8
271,15.98928382,0.806726871,0.6,0.8 - 1.0
272,15.34873749,0.814804694,0.6,0.8 - 1.0
273,15.14618851,0.823398571,0.6,0.8 - 1.0
274,13.35600957,0.834522109,0.6,0.8 - 1.0
275,13.29245617,0.840957619,0.6,0.8 - 1.0
